event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,defenders_cone,one_touch,is_header,phase_type,goal
8_415,1953632,19764,-44.16,0.26,96.66,0.0757,2,103.34,3,1,1,set_play,1
8_452,1953632,23230,-29.93,-0.52,82.432,0.0887,0,101.4,0,1,0,quick_break,0
8_558,1953632,27825,-32.08,12.1,85.441,0.0848,1,102.07,0,0,0,transition,0
8_655,1953632,34949,-27.84,2.13,80.368,0.091,0,102.52,0,0,0,set_play,0
8_708,1953632,38682,-42.91,6.51,95.632,0.0763,1,103.09,0,1,0,set_play,0
8_749,1953632,40604,-31.04,-4.77,83.676,0.0873,1,102.46,1,0,0,quick_break,0
8_756,1953632,42221,-48.76,-8.28,101.598,0.0718,1,103.54,1,1,1,set_play,1
8_772,1953632,43794,-34.33,-11.61,87.603,0.0828,1,101.4,1,0,0,finish,0
8_805,1953632,45038,-32.34,0.39,84.841,0.0862,2,102.62,0,0,0,finish,0
8_845,1953632,49557,-33.94,6.72,86.701,0.0841,1,103.29,1,1,0,set_play,0
8_848,1953632,49905,-40.68,-1.66,93.195,0.0785,2,103.52,1,0,0,set_play,0
8_849,1953632,49927,-40.67,-2.85,93.214,0.0785,0,103.07,0,0,0,set_play,0
8_936,1953632,55326,-33.06,-4.15,85.661,0.0853,1,102.2,0,0,0,quick_break,0
8_996,1953632,58867,-44.79,1.91,97.309,0.0752,4,103.89,1,1,1,set_play,0
8_1000,1996435,55018,-32.74,13.43,86.291,0.0837,0,102.47,0,0,0,set_play,0
8_1012,1996435,55905,-38.24,0.51,90.741,0.0806,0,102.07,1,1,0,transition,0
8_1025,1996435,56567,-41.16,-7.32,93.946,0.0776,0,102.6,0,1,0,finish,0
8_1028,1996435,56949,-30.17,10.58,83.344,0.0871,1,101.76,1,0,0,finish,0
8_269,1996435,10060,-44.95,8.87,97.853,0.0745,0,102.67,1,1,0,finish,0
8_331,1996435,13370,-40.61,11.37,93.802,0.0774,1,102.64,0,0,0,transition,0
8_332,1996435,13394,-40.33,11.08,93.489,0.0777,2,102.65,2,0,0,transition,0
8_353,1996435,14547,-42.02,10.4,95.09,0.0765,1,102.64,0,0,0,finish,0
8_355,1996435,14923,-29.69,6.91,82.48,0.0884,0,102.45,0,0,0,finish,0
8_372,1996435,15945,-41.19,10.91,94.323,0.077,2,102.09,0,0,0,finish,0
8_373,1996435,16293,-47.6,-9.21,100.523,0.0725,2,104.12,0,1,1,set_play,0
8_383,1996435,16866,-37.28,-9.19,90.249,0.0806,2,102.29,2,0,0,finish,0
8_407,1996435,18958,-41.57,-17.49,95.682,0.0752,0,98.47,0,1,0,finish,0
8_460,1996435,21282,-41.11,6.5,93.835,0.0778,2,102.06,0,1,0,finish,1
8_475,1996435,22497,-33.39,13.06,86.877,0.0833,0,101.66,0,0,0,quick_break,0
8_477,1996435,22558,-45.19,-6.72,97.921,0.0745,1,99.89,0,0,0,quick_break,0
8_527,1996435,25350,-43.62,3.19,96.173,0.076,1,102.4,1,1,0,finish,0
8_560,1996435,27155,-47.82,-6.6,100.537,0.0726,3,103.31,2,1,0,set_play,0
8_575,1996435,28198,-47.52,4.89,100.139,0.073,0,101.65,1,1,0,transition,1
8_586,1996435,29481,-37.19,-6.46,89.922,0.0811,3,102.28,1,0,0,finish,0
8_595,1996435,30349,-47.07,14.26,100.586,0.072,1,102.62,2,1,0,finish,1
8_616,1996435,31903,-29.35,8.23,82.263,0.0885,0,101.05,0,0,0,finish,0
8_637,1996435,33455,-46.45,-2.86,98.991,0.0739,3,103.88,0,1,1,set_play,0
8_786,1996435,41405,-44.0,14.12,97.528,0.0742,1,103.09,0,0,0,finish,0
8_850,1996435,45260,-47.64,5.03,100.266,0.0729,1,103.35,0,1,0,finish,0
8_857,1996435,45783,-46.65,0.88,99.154,0.0738,0,102.49,1,1,0,finish,1
8_901,1996435,48723,-48.74,-12.8,102.046,0.0711,0,100.61,0,0,0,finish,0
8_938,1996435,50763,-38.13,-9.81,91.159,0.0798,1,102.57,1,0,0,finish,1
8_995,1996435,54294,-38.98,10.03,92.028,0.079,2,102.27,0,0,0,finish,0
8_18,2006229,689,-33.31,11.18,86.535,0.0838,2,98.42,1,0,0,quick_break,0
8_184,2006229,9435,-45.39,5.36,98.037,0.0745,2,102.09,0,0,0,set_play,0
8_215,2006229,12232,-43.03,4.26,95.625,0.0764,2,102.64,2,1,0,set_play,0
8_306,2006229,17161,-37.14,-6.73,89.892,0.0812,0,103.73,1,1,0,set_play,0
8_309,2006229,17241,-39.09,-0.98,91.595,0.0799,4,102.62,0,0,0,set_play,0
8_348,2006229,19453,-48.25,-7.48,101.027,0.0722,1,103.21,0,1,0,transition,1
8_452,2006229,24327,-43.33,-11.77,96.55,0.0752,1,98.52,2,0,0,transition,0
8_628,2006229,33000,-41.69,-2.15,94.215,0.0776,1,102.59,0,1,1,transition,0
8_633,2006229,33660,-44.98,-8.6,97.859,0.0745,1,103.47,1,1,0,finish,0
8_698,2006229,37319,-39.08,7.35,91.874,0.0794,1,96.36,2,0,0,transition,0
8_716,2006229,38122,-33.23,-8.12,86.114,0.0846,0,102.22,0,1,0,finish,0
8_815,2006229,42897,-32.44,-5.06,85.091,0.0858,1,101.79,0,1,0,finish,0
8_827,2006229,47565,-30.76,-3.04,83.315,0.0877,0,103.31,0,1,0,set_play,0
8_877,2006229,49989,-38.19,13.05,91.624,0.079,0,101.38,0,1,0,finish,0
8_973,2006229,56655,-45.73,6.44,98.441,0.0742,2,103.08,0,1,1,finish,0
8_117,2011166,8230,-49.18,-2.85,101.72,0.0719,2,103.67,2,1,0,finish,1
8_149,2011166,10473,-33.21,9.49,86.234,0.0843,1,102.63,0,0,0,finish,0
8_16,2011166,2712,-41.39,7.32,94.175,0.0775,2,102.91,0,0,0,finish,0
8_243,2011166,16662,-38.85,-1.84,91.369,0.0801,0,103.94,0,1,0,set_play,0
8_249,2011166,17025,-44.22,-2.18,96.745,0.0756,2,103.8,1,1,1,set_play,0
