event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,gk_angle_blocked,defenders_cone,one_touch,is_header,phase_type,goal
8_915,1899585,58263,32.99,11.25,22.521,0.2815,1,4.07,0.19577439305075536,0,0,0,finish,0
8_927,1899585,59862,42.56,-12.17,15.713,0.3021,2,3.15,0.31119050648649327,1,0,0,finish,0
8_1015,1925299,58689,46.98,4.43,7.078,0.8334,1,1.72,0.26524404489540043,0,1,1,finish,0
8_118,1925299,5657,40.09,5.02,13.387,0.5012,1,1.98,0.18255880307903466,1,0,0,finish,0
8_295,1925299,14784,42.33,10.32,14.489,0.3621,1,1.67,0.23715436007922658,2,0,0,finish,0
8_318,1925299,17522,30.97,9.54,23.549,0.2834,0,2.83,0.1735240770191779,0,0,0,finish,0
8_333,1925299,17972,37.03,17.06,23.03,0.2156,0,2.01,0.23270194595059288,0,1,0,finish,0
8_354,1925299,20989,38.51,-8.87,16.565,0.3739,1,2.65,0.20067408143900117,0,0,0,finish,0
8_491,1925299,27232,43.54,-3.46,9.605,0.6938,0,1.9,0.1842984429521297,0,1,0,finish,0
8_540,1925299,30126,30.15,0.39,22.353,0.3245,1,2.18,0.15271934436400167,1,0,0,finish,0
8_613,1925299,33065,33.27,-4.53,19.756,0.3574,1,2.71,0.16515386901838075,1,0,0,finish,0
8_631,1925299,34513,24.13,9.32,29.862,0.2322,0,3.47,0.16458856651749054,2,0,0,finish,0
8_638,1925299,35025,42.68,3.11,10.301,0.6595,1,1.13,0.1593775068319805,0,1,0,quick_break,0
8_694,1925299,37528,45.22,0.86,7.331,0.9228,2,1.62,0.19092660504423012,0,1,1,finish,0
8_706,1925299,38387,29.99,4.76,23.008,0.3091,2,3.85,0.17042298266288747,0,1,0,finish,0
8_708,1925299,38945,32.0,-3.48,20.793,0.3439,2,2.75,0.16145798310043322,2,0,0,finish,0
8_800,1925299,44300,47.41,-5.37,7.399,0.7334,1,1.71,0.22235933707738578,0,1,0,finish,1
8_814,1925299,46497,41.85,11.89,15.962,0.3124,0,2.19,0.2500597225130703,0,1,0,finish,0
8_880,1925299,49908,42.96,-17.79,20.187,0.1754,1,1.63,0.34584858100786675,0,0,0,quick_break,0
8_978,1925299,56547,37.59,12.85,19.683,0.2839,0,1.41,0.20699664992990224,1,1,0,set_play,0
8_981,1925299,56786,45.59,-6.06,9.191,0.6185,3,1.35,0.23343414641782956,2,1,1,set_play,0
8_986,1925299,57103,41.93,-14.85,18.228,0.2381,1,1.88,0.2948855259550153,1,0,0,finish,0
8_384,1953632,17267,47.09,12.8,13.896,0.2169,1,1.84,0.5051540447805958,0,0,0,finish,0
8_415,1953632,19764,44.16,0.26,8.344,0.8265,2,1.66,0.18054543114303942,0,1,1,set_play,1
8_452,1953632,23230,29.93,-0.52,22.576,0.3214,0,3.6,0.16332015202008246,1,1,0,quick_break,0
8_558,1953632,27825,32.08,12.1,23.736,0.2654,1,2.93,0.18370921020974534,3,0,0,transition,0
8_655,1953632,34949,27.84,2.13,24.752,0.2926,0,2.48,0.15365129654139772,2,0,0,set_play,0
8_708,1953632,38682,42.91,6.51,11.591,0.5259,1,1.91,0.21256143052809637,1,1,0,set_play,0
8_749,1953632,40604,31.04,-4.77,21.984,0.3226,1,2.54,0.16059729199889408,0,0,0,quick_break,0
8_756,1953632,42221,48.76,-8.28,9.085,0.377,1,1.46,0.3752012862796309,0,1,1,set_play,1
8_772,1953632,43794,34.33,-11.61,21.562,0.2865,1,3.6,0.20190812415036807,1,0,0,finish,0
8_805,1953632,45038,32.34,0.39,20.164,0.3591,2,2.38,0.15634808917494117,1,0,0,finish,0
8_845,1953632,49557,33.94,6.72,19.739,0.3465,1,1.71,0.16183496949765414,2,1,0,set_play,0
8_848,1953632,49905,40.68,-1.66,11.936,0.5905,2,1.48,0.16060913316518702,1,0,0,set_play,0
8_849,1953632,49927,40.67,-2.85,12.168,0.5714,0,1.93,0.16945895194284144,2,0,0,set_play,0
8_936,1953632,55326,33.06,-4.15,19.878,0.3568,1,2.8,0.1642783715064902,1,0,0,quick_break,0
8_996,1953632,58867,44.79,1.91,7.943,0.8488,4,1.11,0.17505960523044026,0,1,1,set_play,0
8_1000,1996435,55018,32.74,13.43,23.892,0.2539,0,2.53,0.18791070624258252,0,0,0,set_play,0
8_1012,1996435,55905,38.24,0.51,14.269,0.5019,0,2.93,0.17529326847022847,1,1,0,transition,0
8_1025,1996435,56567,41.16,-7.32,13.497,0.4571,0,2.4,0.22083223606855726,1,1,0,finish,0
8_1028,1996435,56949,30.17,10.58,24.71,0.2672,1,3.24,0.17980565282506072,1,0,0,finish,0
8_269,1996435,10060,44.95,8.87,11.648,0.4245,0,2.33,0.2969600509149372,0,1,0,finish,0
8_331,1996435,13370,40.61,11.37,16.451,0.3262,1,2.36,0.23520543568350608,1,0,0,transition,0
8_332,1996435,13394,40.33,11.08,16.458,0.3331,2,2.35,0.22779716781662315,2,0,0,transition,0
8_353,1996435,14547,42.02,10.4,14.764,0.3587,1,2.36,0.2515529931425127,1,0,0,finish,0
8_355,1996435,14923,29.69,6.91,23.834,0.2924,0,2.55,0.16065484213129744,1,0,0,finish,0
8_372,1996435,15945,41.19,10.91,15.714,0.3407,2,2.91,0.25125216059365807,2,0,0,finish,0
8_373,1996435,16293,47.6,-9.21,10.432,0.3595,2,0.88,0.3238405381104015,2,1,1,set_play,0
8_383,1996435,16866,37.28,-9.19,17.779,0.3527,2,2.71,0.20012919219989675,1,0,0,finish,0
8_407,1996435,18958,41.57,-17.49,20.624,0.1918,0,6.53,1.0,0,1,0,finish,0
8_460,1996435,21282,41.11,6.5,13.114,0.484,2,2.94,0.21935593256614963,0,1,0,finish,1
8_475,1996435,22497,33.39,13.06,23.146,0.2617,0,3.34,0.20155947648684852,0,0,0,quick_break,0
8_477,1996435,22558,45.19,-6.72,9.929,0.5608,1,5.11,0.5422493757051555,0,0,0,quick_break,0
8_527,1996435,25350,43.62,3.19,9.436,0.7099,1,2.6,0.21891689613244592,1,1,0,finish,0
8_560,1996435,27155,47.82,-6.6,8.091,0.5819,3,1.69,0.3558418688724668,4,1,0,set_play,0
8_575,1996435,28198,47.52,4.89,6.979,0.8012,0,3.35,0.48918404616776395,0,1,0,transition,1
8_586,1996435,29481,37.19,-6.46,16.617,0.4032,3,2.72,0.18428296087993787,0,0,0,finish,0
8_595,1996435,30349,47.07,14.26,15.259,0.1792,1,2.38,0.4923062509902398,0,1,0,finish,1
8_616,1996435,31903,29.35,8.23,24.569,0.2796,0,3.95,0.17475703684940996,0,0,0,finish,0
8_637,1996435,33455,46.45,-2.86,6.692,0.9542,3,1.12,0.18531461393123094,1,1,1,set_play,0
8_786,1996435,41405,44.0,14.12,16.481,0.2364,1,1.91,0.32966057856220177,1,0,0,finish,0
8_850,1996435,45260,47.64,5.03,6.994,0.7861,1,1.65,0.3435524562840106,0,1,0,finish,0
8_857,1996435,45783,46.65,0.88,5.916,1.1036,0,2.51,0.26926556186884887,0,1,0,finish,1
8_901,1996435,48723,48.74,-12.8,13.341,0.1657,0,4.39,1.0,0,0,0,finish,0
8_938,1996435,50763,38.13,-9.81,17.399,0.3487,1,2.43,0.2042245132689237,1,0,0,finish,1
8_995,1996435,54294,38.98,10.03,16.834,0.3513,2,2.73,0.2067482759868999,0,0,0,finish,0
8_18,2006229,689,33.31,11.18,22.209,0.2848,2,6.58,0.23748821912041734,0,0,0,quick_break,0
8_184,2006229,9435,45.39,5.36,8.904,0.6686,2,2.91,0.22648854010806177,1,0,0,set_play,0
8_215,2006229,12232,43.03,4.26,10.384,0.6332,2,2.36,0.2095032827194073,1,1,0,set_play,0
8_306,2006229,17161,37.14,-6.73,16.77,0.3975,0,1.27,0.16679491050778905,1,1,0,set_play,0
8_309,2006229,17241,39.09,-0.98,13.446,0.5304,4,2.38,0.17045190969276713,1,0,0,set_play,0
8_348,2006229,19453,48.25,-7.48,8.603,0.4742,1,1.79,0.5470609178671662,1,1,0,transition,1
8_452,2006229,24327,43.33,-11.77,14.921,0.3104,1,6.48,0.6491146123963156,0,0,0,transition,0
8_628,2006229,33000,41.69,-2.15,11.022,0.632,1,2.41,0.18581360675487205,0,1,1,transition,0
8_633,2006229,33660,44.98,-8.6,11.424,0.4394,1,1.53,0.2823155241574289,0,1,0,finish,0
8_698,2006229,37319,39.08,7.35,15.301,0.4187,1,8.64,0.4376579551872705,0,0,0,transition,0
8_716,2006229,38122,33.23,-8.12,20.911,0.3213,0,2.78,0.17379225622769442,1,1,0,finish,0
8_815,2006229,42897,32.44,-5.06,20.688,0.3404,1,3.21,0.17001661152265518,1,1,0,finish,0
8_827,2006229,47565,30.76,-3.04,21.952,0.3275,0,1.69,0.1507933185080515,1,1,0,set_play,0
8_877,2006229,49989,38.19,13.05,19.367,0.2819,0,3.62,0.23987701566292285,0,1,0,finish,0
8_973,2006229,56655,45.73,6.44,9.344,0.5906,2,1.92,0.2469121252289222,0,1,1,finish,0
8_117,2011166,8230,49.18,-2.85,4.375,1.3385,2,1.33,0.26015454876272415,0,1,0,finish,1
8_149,2011166,10473,33.21,9.49,21.498,0.3048,1,2.37,0.17646194634292722,0,0,0,finish,0
8_16,2011166,2712,41.39,7.32,13.305,0.4613,2,2.09,0.2028236888855687,2,0,0,finish,0
8_243,2011166,16662,38.85,-1.84,13.773,0.5156,0,1.06,0.15339072940645623,2,1,0,set_play,0
8_249,2011166,17025,44.22,-2.18,8.562,0.7912,2,1.2,0.17320899705195686,0,1,1,set_play,0
